"","DayOfJourney","FareChange","DifferenceInDays","Curr_Time"
"1","3",2392,1,"1"
"2","3",2392,1,"2"
"3","4",2392,2,"1"
"4","4",3487,2,"2"
"5","5",2392,3,"1"
"6","5",2851,3,"2"
"7","6",2392,4,"1"
"8","6",2392,4,"2"
"9","7",2392,5,"1"
"10","7",2392,5,"2"
"11","1",2392,6,"1"
"12","1",2392,6,"2"
"13","2",1122,7,"1"
"14","2",0,7,"2"
"15","3",11109,1,"1"
"16","3",6665,1,"2"
"17","4",14600,2,"1"
"18","4",4232,2,"2"
"19","5",6665,3,"1"
"20","5",4232,3,"2"
"21","6",3174,4,"1"
"22","6",1372,4,"2"
"23","7",2221,5,"1"
"24","7",581,5,"2"
"25","1",581,6,"1"
"26","1",0,6,"2"
"27","2",3174,7,"1"
"28","2",0,7,"2"
"29","3",2327,1,"1"
"30","4",1269,2,"1"
"31","5",1269,3,"1"
"32","6",1269,4,"1"
"33","7",1269,5,"1"
"34","1",847,6,"1"
"35","2",0,7,"1"
"36","3",3122,1,"1"
"37","3",4045,1,"2"
"38","4",1100,2,"1"
"39","4",4045,2,"2"
"40","5",647,3,"1"
"41","5",7591,3,"2"
"42","6",1607,4,"1"
"43","6",1872,4,"2"
"44","7",647,5,"1"
"45","7",0,5,"2"
"46","1",1100,6,"1"
"47","1",620,6,"2"
"48","2",1100,7,"1"
"49","2",592,7,"2"
"50","3",1783,1,"1"
"51","4",1716,2,"1"
"52","5",1716,3,"1"
"53","6",1716,4,"1"
"54","7",1140,5,"1"
"55","1",1716,6,"1"
"56","2",1716,7,"1"
"57","3",4050,1,"1"
"58","3",5900,1,"2"
"59","4",1550,2,"1"
"60","4",4600,2,"2"
"61","5",1550,3,"1"
"62","5",10400,3,"2"
"63","6",2200,4,"1"
"64","6",2750,4,"2"
"65","7",1550,5,"1"
"66","7",2750,5,"2"
"67","1",2200,6,"1"
"68","1",1300,6,"2"
"69","2",1550,7,"1"
"70","2",1300,7,"2"
"71","3",6135,1,"1"
"72","3",5185,1,"2"
"73","4",4020,2,"1"
"74","4",4020,2,"2"
"75","5",2857,3,"1"
"76","5",4020,3,"2"
"77","6",4020,4,"1"
