"","Arr","Dep","Airline","Curr_Time","FlightNo"
"1","BOM","BDQ","6E","M",568
"2","BOM","BDQ","6E","E",446
"3","DEL","BDQ","6E","M",591
"4","DEL","BDQ","6E","E",488
"5","DEL","BDQ","6E","E",162
"6","BDQ","BLR","6E","M",759
"7","BOM","BLR","6E","M",456
"8","BOM","BLR","6E","E",474
"9","BOM","BLR","6E","E",756
"10","BOM","BLR","6E","E",9483
"11","BOM","BLR","G8","M",395
"12","BOM","BLR","G8","M",318
"13","BOM","BLR","SG","M",438
"14","BOM","BLR","SG","E",418
"15","CCU","BLR","6E","M",713
"16","CCU","BLR","6E","E",349
"17","CCU","BLR","6E","M",339
"18","CCU","BLR","6E","E",676
"19","CCU","BLR","SG","E",517
"20","DEL","BLR","6E","M",816
"21","DEL","BLR","6E","E",768
"22","DEL","BLR","6E","E",106
"23","DEL","BLR","6E","M",132
"24","DEL","BLR","6E","M",126
"25","DEL","BLR","6E","E",122
"26","DEL","BLR","6E","M",714
"27","DEL","BLR","G8","M",116
"28","DEL","BLR","G8","E",118
"29","DEL","BLR","G8","E",285
"30","DEL","BLR","SG","M",136
"31","DEL","BLR","SG","E",198
"32","DEL","BLR","SG","M",192
"33","HYD","BLR","6E","M",602
"34","HYD","BLR","6E","E",638
"35","HYD","BLR","6E","M",328
"36","HYD","BLR","SG","M",1034
"37","HYD","BLR","SG","E",1036
"38","HYD","BLR","SG","E",1039
"39","MAA","BLR","6E","M",233
"40","MAA","BLR","6E","E",729
"41","MAA","BLR","6E","M",541
"42","MAA","BLR","SG","M",3302
"43","MAA","BLR","SG","E",3310
"44","MAA","BLR","SG","E",1033
"45","MAA","BLR","SG","E",3308
"46","PNQ","BLR","6E","M",408
"47","PNQ","BLR","6E","E",528
"48","PNQ","BLR","6E","E",718
"49","PNQ","BLR","G8","M",283
"50","PNQ","BLR","SG","E",528
"51","BDQ","BOM","6E","M",567
"52","BLR","BOM","6E","M",236
