"","Arr","Dep","Airline","Curr_Time","FlightNo","FareVar","FareSD","FareMean","CorFareDifnDays","covFareDifnDays"
"1","BOM","BDQ","6E","M",568,1154334.11850873,1074.39942223957,3714.93251533742,-0.79145557267764,-1801.26961774422
"2","BOM","BDQ","6E","E",446,1668731.42743569,1291.79387962464,3561.87654320988,-0.845344892705579,-2327.61090089057
"3","DEL","BDQ","6E","M",591,15737098.2554371,3967.00116655353,12498.9642857143,-0.537533927380732,-4525.67718550107
"4","DEL","BDQ","6E","E",488,3479246.90826789,1865.27394992475,5647.28099173554,-0.473221474875451,-1942.70223929221
"5","DEL","BDQ","6E","E",162,3117841.34706017,1765.74101924947,5371.82978723404,-0.380820619902031,-1280.63829787234
"6","BDQ","BLR","6E","M",759,387282.920255864,622.320592826449,4798.07142857143,-0.318709440850423,-420.944136460554
"7","BOM","BLR","6E","M",456,493686.725640201,702.628440671313,3776.56209150327,-0.275043176841856,-393.977970641809
"8","BOM","BLR","6E","E",474,2222975.9048951,1490.96475642287,4966.81818181818,-0.523642650719073,-1566.73426573427
"9","BOM","BLR","6E","E",756,1804015.3699115,1343.13639289221,5553.08849557522,-0.313795480141931,-857.797010816126
"10","BOM","BLR","6E","E",9483,692633.413043478,832.246005123172,4934.25,-0.728367061668482,-1704.41304347826
"11","BOM","BLR","G8","M",395,450477.255384615,671.176024143157,4274.84615384615,-0.93441919539439,-1526.73846153846
"12","BOM","BLR","G8","M",318,473928.017538365,688.424300514127,3866.51612903226,-0.240032518389749,-344.953961791419
"13","BOM","BLR","SG","M",438,960950.159914712,980.280653647063,3582.03571428571,-0.48898786985667,-1017.33475479744
"14","BOM","BLR","SG","E",418,3765877.39872068,1940.58686966615,4750.78571428571,-0.509453672387077,-2098.2302771855
"15","CCU","BLR","6E","M",713,1344669.37899452,1159.59880087663,7099.9756097561,-0.3735671537686,-940.063713290194
"16","CCU","BLR","6E","E",349,1821060.07109372,1349.46658761665,7311.96396396396,-0.154905990352837,-432.353634177164
"17","CCU","BLR","6E","M",339,785757.263673469,886.429502934931,7029.96,0.055120315564221,99.7730612244898
"18","CCU","BLR","6E","E",676,910034.843657817,953.9574642812,6396.66666666667,-0.688494874405135,-1417.13864306785
"19","CCU","BLR","SG","E",517,825035.447761194,908.314619369959,5780.25,-0.318520813769864,-614.029850746269
"20","DEL","BLR","6E","M",816,484933.998491841,696.372025925683,5430.03875968992,0.145681181113045,203.355080988146
"21","DEL","BLR","6E","E",768,1774047.27990708,1331.93366197686,5998.80952380952,-0.625258151864609,-2077.21254355401
"22","DEL","BLR","6E","E",106,708217.402672148,841.556535636286,5555.51428571429,0.334875342508881,520.82076053443
"23","DEL","BLR","6E","M",132,298115.330769231,545.999387150966,6014.55,0.390239817267479,504.65
"24","DEL","BLR","6E","M",126,804272.916666667,896.812643012277,5387.875,-0.815538217114989,-821.791666666667
"25","DEL","BLR","6E","E",122,583948.242857143,764.165062572965,5662.60714285714,0.10837803919762,111.672727272727
"26","DEL","BLR","6E","M",714,9792,98.9545350148238,5675,0.661437827766148,56
"27","DEL","BLR","G8","M",116,533229.814356787,730.225865302502,5582.69047619048,0.113247779377433,175.510163468372
"28","DEL","BLR","G8","E",118,393578.84428504,627.358624938751,5622.44171779141,-0.311910384702291,-413.830108541765
"29","DEL","BLR","G8","E",285,1602779.73333333,1266.0093733197,7604.8,-0.814854997338776,-2441.24444444444
"30","DEL","BLR","SG","M",136,593722.343581727,770.533804308238,4041.92105263158,0.280772710830771,473.70818134445
"31","DEL","BLR","SG","E",198,496432.142004264,704.579407876972,3894.53571428571,-0.0831411353647259,-124.325799573561
"32","DEL","BLR","SG","M",192,527033.225806452,725.970540591319,4232.25,-0.0800610943824098,-76.3548387096774
"33","HYD","BLR","6E","M",602,542683.097275956,736.670277176944,2871.42767295597,-0.168833291795748,-259.679602404619
"34","HYD","BLR","6E","E",638,298715.486743825,546.548704823116,3931.71034482759,-0.294420298907268,-328.648705405083
"35","HYD","BLR","6E","M",328,39511.2087912088,198.774265917922,2948.14285714286,-0.853912563829966,-326.153846153846
"36","HYD","BLR","SG","M",1034,8355085.83866382,2890.5165349231,3661.84523809524,-0.552477284894381,-3389.26282871357
"37","HYD","BLR","SG","E",1036,783222.951180646,884.998842474184,2469.45762711864,-0.461371689956203,-977.369839200348
"38","HYD","BLR","SG","E",1039,75992.1040037205,275.666653775389,1871.73394495413,0.140463683429616,75.1036654969771
"39","MAA","BLR","6E","M",233,218541.524091892,467.484250100356,1761.15243902439,-0.293661408607551,-289.603789065414
"40","MAA","BLR","6E","E",729,57976.4507462687,240.782995135181,1895.25,-0.207736306887795,-106.158208955224
"41","MAA","BLR","6E","M",541,41297.3571428571,203.217511900075,1546.75,-1,-376.285714285714
"42","MAA","BLR","SG","M",3302,1001949.44474058,1000.97424779091,1652.17261904762,-0.30870247395527,-655.810518834399
"43","MAA","BLR","SG","E",3310,51185.6444995864,226.242446281829,943.858974358974,0.297968145481338,150.709594706369
"44","MAA","BLR","SG","E",1033,80322.7797422835,283.412737438322,1095.16901408451,-0.100378063813657,-57.2580161821996
"45","MAA","BLR","SG","E",3308,62495.0327169275,249.990065236456,1060.68421052632,0.320960770209976,168.069701280228
"46","PNQ","BLR","6E","M",408,1586104.67058675,1259.406475522,3566.91017964072,-0.441818693055916,-1176.88464512417
"47","PNQ","BLR","6E","E",528,2629036.19446821,1621.43029281811,4240.7380952381,-0.0947681184864708,-315.171941830624
"48","PNQ","BLR","6E","E",718,1300958.30738523,1140.59559326925,3937.33333333333,-0.485834456316669,-1164.60279441118
"49","PNQ","BLR","G8","M",283,1729367.47334755,1315.0541712597,3686.03571428571,-0.4581142595614,-1278.59445628998
"50","PNQ","BLR","SG","E",528,745709.500923952,863.544730123432,2362.27380952381,-0.111468149009728,-204.291826581379
"51","BDQ","BOM","6E","M",567,2073143.90788913,1439.84162597458,2706.85714285714,-0.62962603756598,-1924.03411513859
"52","BLR","BOM","6E","M",236,3430795.75039662,1852.24073770032,6382.29032258064,-0.0188066208162073,-59.6234796404019
"53","BLR","BOM","6E","E",415,807340.943892617,898.521532236494,4871.68,0.144984479164844,278.556510067114
"54","BLR","BOM","6E","M",199,1187145.85437979,1089.56223061365,5524.20149253731,-0.151523992295099,-342.671082788306
"55","BLR","BOM","6E","E",473,270404.879120879,520.004691441221,4164.42857142857,-0.280241913940892,-440.637362637363
"56","BLR","BOM","6E","E",463,794174.494456098,891.164684250952,4893.12676056338,0.167937201541168,295.830786135251
"57","BLR","BOM","6E","M",715,1841722.4,1357.10073318085,4592,-0.118652586428932,-220
