"","Airline","FareVar","FareSD","CorFareDifnDays"
"1","6E",1154334.11850873,1074.39942223957,-0.79145557267764
"2","6E",1668731.42743569,1291.79387962464,-0.845344892705579
"3","6E",15737098.2554371,3967.00116655353,-0.537533927380732
"4","6E",3479246.90826789,1865.27394992475,-0.473221474875451
"5","6E",3117841.34706017,1765.74101924947,-0.380820619902031
"6","6E",387282.920255864,622.320592826449,-0.318709440850423
"7","6E",493686.725640201,702.628440671313,-0.275043176841856
"8","6E",2222975.9048951,1490.96475642287,-0.523642650719073
"9","6E",1804015.3699115,1343.13639289221,-0.313795480141931
"10","6E",692633.413043478,832.246005123172,-0.728367061668482
"11","G8",450477.255384615,671.176024143157,-0.93441919539439
"12","G8",473928.017538365,688.424300514127,-0.240032518389749
"13","SG",960950.159914712,980.280653647063,-0.48898786985667
"14","SG",3765877.39872068,1940.58686966615,-0.509453672387077
"15","6E",1344669.37899452,1159.59880087663,-0.3735671537686
"16","6E",1821060.07109372,1349.46658761665,-0.154905990352837
"17","6E",785757.263673469,886.429502934931,0.055120315564221
"18","6E",910034.843657817,953.9574642812,-0.688494874405135
"19","SG",825035.447761194,908.314619369959,-0.318520813769864
"20","6E",484933.998491841,696.372025925683,0.145681181113045
"21","6E",1774047.27990708,1331.93366197686,-0.625258151864609
"22","6E",708217.402672148,841.556535636286,0.334875342508881
"23","6E",298115.330769231,545.999387150966,0.390239817267479
"24","6E",804272.916666667,896.812643012277,-0.815538217114989
"25","6E",583948.242857143,764.165062572965,0.10837803919762
"26","6E",9792,98.9545350148238,0.661437827766148
"27","G8",533229.814356787,730.225865302502,0.113247779377433
"28","G8",393578.84428504,627.358624938751,-0.311910384702291
"29","G8",1602779.73333333,1266.0093733197,-0.814854997338776
"30","SG",593722.343581727,770.533804308238,0.280772710830771
"31","SG",496432.142004264,704.579407876972,-0.0831411353647259
"32","SG",527033.225806452,725.970540591319,-0.0800610943824098
"33","6E",542683.097275956,736.670277176944,-0.168833291795748
"34","6E",298715.486743825,546.548704823116,-0.294420298907268
